field,current_label,audit_label,count
scope_label,Adjacent,Adjacent,1
scope_label,Adjacent,Component,2
scope_label,Background,Background,1
scope_label,Component,Component,5
scope_label,Core,Adjacent,1
scope_label,Core,Core,10
transfer_point,Evaluation,Evaluation,2
transfer_point,Evaluation|Generation|Retrieval,Evaluation|Generation,3
transfer_point,Evaluation|Generation|Retrieval,Evaluation|Generation|Retrieval,7
transfer_point,Evaluation|Generation|Retrieval,Generation|Retrieval,1
transfer_point,Generation|Retrieval,Evaluation|Generation|Retrieval,1
transfer_point,Generation|Retrieval,Generation|Retrieval,4
transfer_point,Retrieval,Evaluation|Retrieval,2
translation_strategy,Hybrid,Hybrid,3
translation_strategy,Language-agnostic,Language-agnostic,4
translation_strategy,Language-agnostic,N/A,2
translation_strategy,N/A,Language-agnostic,3
translation_strategy,N/A,N/A,8
resource_level,High,High,2
resource_level,High,N/A,1
resource_level,Low,Low,3
resource_level,Low,Mixed,1
resource_level,Mixed,High,1
resource_level,Mixed,Mixed,12
