id,scope_label,transfer_point,translation_strategy,resource_level
P005,Core,Retrieval|Generation,Language-agnostic,Mixed
P006,Core,Retrieval|Generation|Evaluation,N/A,High
P008,Component,Retrieval,N/A,Mixed
P110,Core,Retrieval|Generation|Evaluation,Language-agnostic,High
P010,Core,Retrieval|Generation|Evaluation,Hybrid,Mixed
P011,Component,Evaluation,N/A,Mixed
P012,Adjacent,Evaluation|Generation|Retrieval,N/A,Mixed
P017,Component,Generation|Retrieval,N/A,Low
P019,Core,Retrieval|Generation,Hybrid,Mixed
P020,Core,Retrieval|Generation,Hybrid,Low
P112,Core,Retrieval|Generation|Evaluation,Language-agnostic,Mixed
P030,Component,Retrieval,N/A,Mixed
P033,Background,Evaluation|Generation|Retrieval,N/A,High
P035,Adjacent,Evaluation|Generation|Retrieval,N/A,Mixed
P115,Core,Retrieval|Generation|Evaluation,N/A,Mixed
P050,Core,Retrieval|Generation|Evaluation,Language-agnostic,Mixed
P063,Core,Evaluation|Generation|Retrieval,Language-agnostic,Mixed
P071,Component,Evaluation,N/A,Low
P075,Adjacent,Retrieval|Generation,Language-agnostic,Low
P077,Core,Retrieval|Generation|Evaluation,N/A,Mixed
