paper_id,title,authors,year,venue,url,citation_key,audit_scope_label,audit_transfer_point,audit_translation_strategy,audit_resource_level,audit_comment
P005,One Question Answering Model for Many Languages with Cross-lingual Dense Passage Retrieval (CORA),Asai et al.,2021,NeurIPS,https://arxiv.org/abs/2107.11976,asai2021cora,Core,Retrieval|Generation,Language-agnostic,Mixed,
P006,XRAG: Cross-Lingual Retrieval-Augmented Generation,Liu et al.,2025,EMNLP-Findings,https://aclanthology.org/2025.findings-emnlp.849/,liu2025xrag,Core,Retrieval|Generation|Evaluation,Language-agnostic,High,
P008,MIRACL: A Multilingual Retrieval Dataset Covering 18 Diverse Languages,Zhang et al.,2023,TACL,https://aclanthology.org/2023.tacl-1.63/,zhang2023miracl,Component,Retrieval|Evaluation,N/A,Mixed,
P110,A Comprehensive Evaluation of Embedding Models and LLMs for IR and QA Across English and Italian,Oro et al.,2025,Big Data and Cognitive Computing,https://doi.org/10.3390/bdcc9050141,oro2025evaluation,Core,Retrieval|Generation|Evaluation,Language-agnostic,High,
P010,Retrieval-Augmented Generation in Multilingual Settings (BERGEN),Chirkova et al.,2024,KnowLLM-WS@ACL,https://arxiv.org/abs/2407.01463,chirkova2024bergen,Core,Retrieval|Generation|Evaluation,Hybrid,Mixed,
P011,Reliability of Multilingual LLM-as-Judge,Fu & Liu,2025,EMNLP-Findings,https://aclanthology.org/2025.findings-emnlp.587/,fu2025reliable,Component,Evaluation,N/A,Mixed,
P012,MEMERAG: Multilingual End-to-End Meta-Evaluation Benchmark,Cruz Blandon et al.,2025,ACL,https://aclanthology.org/2025.acl-long.1101/,cruzblandon2025memerag,Component,Generation|Evaluation,N/A,Mixed,Component vs Adjacent. Coded by primary contribution: a multilingual meta-evaluation benchmark (LLM-judge resource); monolingual instances; no end-to-end cross-lingual RAG.
P017,XTREME-UP: A User-Centric Scarce-Data Benchmark for Under-Represented Languages,Ruder et al.,2023,EMNLP-Findings,https://aclanthology.org/2023.findings-emnlp.125/,ruder2023xtremeup,Component,Retrieval|Generation|Evaluation,N/A,Low,Narrow interpretation; Component not Core. Contains cross-lingual QA and cross-language retrieval tasks; but these are isolated tasks in a 9-task suite with retrieval separated from QA; not end-to-end RAG.
P019,Multilingual Retrieval-Augmented Generation for Knowledge-Intensive Question Answering,Ranaldi et al.,2026,EACL-Findings,https://aclanthology.org/2026.findings-eacl.35/,ranaldi2026multilingual,Core,Retrieval|Generation,Hybrid,Mixed,
P020,AfriQA: Cross-lingual Open-Retrieval QA for African Languages,Ogundepo et al.,2023,EMNLP-Findings,https://aclanthology.org/2023.findings-emnlp.997/,ogundepo2023afriqa,Core,Retrieval|Generation,Hybrid,Low,
P112,Benchmarking Open-Source Large Language Models on Code-Switched Tagalog-English Retrieval Augmented Generation,Adoptante et al.,2025,Journal of Advances in Information Technology,https://doi.org/10.12720/jait.16.2.233-242,adoptante2025codeswitched,Adjacent,Retrieval|Generation|Evaluation,Language-agnostic,Mixed,
P030,mMARCO: A Multilingual Version of the MS MARCO Passage Ranking Dataset,Bonifacio et al.,2022,arXiv,https://arxiv.org/abs/2108.13897,bonifacio2022mmarco,Component,Retrieval|Evaluation,N/A,Mixed,
P033,Self-RAG: Learning to Retrieve Generate and Critique through Self-Reflection,Asai et al.,2024,ICLR,https://openreview.net/forum?id=hSyW5go0v8,asai2024selfrag,Background,Retrieval|Generation,N/A,N/A,
P035,MIRAGE-Bench: Automatic Multilingual Benchmark Arena for RAG Systems,Thakur et al.,2025,NAACL,https://aclanthology.org/2025.naacl-long.14/,thakur2025miragebench,Component,Generation|Evaluation,N/A,Mixed,Component vs Adjacent. Coded by primary contribution: generation-only benchmark plus surrogate judge; oracle retrieval; monolingual instances; no end-to-end cross-lingual RAG.
P115,M3-RAG: Unified Multimodal and Multilingual Retrieval-Augmented Generation,Xu et al.,2025,ICCEA,https://doi.org/10.1109/ICCEA65460.2025.11102259,xu2025m3rag,Core,Retrieval|Generation|Evaluation,Language-agnostic,Mixed,full text unavailable
P050,Multilingual RAG for Culturally Sensitive Tasks,Li et al.,2025,ACL-Findings,https://aclanthology.org/2025.findings-acl.219/,li2025bordirlines,Core,Retrieval|Generation|Evaluation,Language-agnostic,Mixed,
P063,Evaluating and Modeling Attribution for Cross-Lingual Question Answering,Muller et al.,2023,EMNLP,https://aclanthology.org/2023.emnlp-main.10/,muller2023xorattriqa,Core,Generation|Evaluation,N/A,Mixed,
P071,Cross-Lingual Stability of LLM Judges Under Controlled Generation: Evidence from Finno-Ugric Languages,Chung & Freienthal,2026,MME-WS,https://aclanthology.org/2026.mme-main.8/,chung2026crosslingual,Component,Evaluation,N/A,Low,
P075,LegalRAG: A Hybrid RAG System for Multilingual Legal Information Retrieval,Kabir et al.,2025,IJCNN,https://doi.org/10.1109/IJCNN64981.2025.11228374,kabir2025legalrag,Adjacent,Retrieval|Generation,N/A,Mixed,full text unavailable
P077,MedExpQA: Multilingual Benchmarking of LLMs for Medical QA,Alonso et al.,2024,Artificial Intelligence in Medicine,https://doi.org/10.1016/j.artmed.2024.102938,alonso2024medexpqa,Core,Retrieval|Generation|Evaluation,Language-agnostic,High,Core vs Adjacent. Cross-lingual mismatch arises only because non-English questions retrieve from the English-only MedCorp corpus; cross-lingual by construction; not by design.
